id,assert_type,subject,predicate,object
L20096,relationship,I2003,mentioned in,D20096
L20097,relationship,I2003,mentioned in,D20097
L20098,relationship,I2003,mentioned in,D20098
L20099,relationship,I2003,mentioned in,D50005
L20100,relationship,I2003,mentioned in,D20100
L20101,relationship,I2003,mentioned in,D50006
L20102,relationship,I2003,mentioned in,D60083
L20103,relationship,I2003,mentioned in,D20103
L20104,relationship,I2003,mentioned in,D20104
L20105,relationship,I2003,mentioned in,D30439
L20106,relationship,I2003,mentioned in,D20106
L20107,relationship,I2003,mentioned in,D30362
L20108,relationship,I2003,mentioned in,D30223
L20109,relationship,I2003,mentioned in,D30621
L20110,relationship,I2003,mentioned in,D20110
L20111,relationship,I2003,mentioned in,D20111
L20112,relationship,I2003,mentioned in,D21439
L20113,relationship,I2003,mentioned in,D20113
L20114,relationship,I2003,mentioned in,D140218
L20116,relationship,I2003,mentioned in,D20116
L20117,relationship,I2003,mentioned in,D20117
L20118,relationship,I2003,mentioned in,D21141
L20119,relationship,I2003,mentioned in,D20119
L20120,relationship,I2003,mentioned in,D21070
L20121,relationship,I2003,mentioned in,D20121
L20122,relationship,I2003,mentioned in,D20122
L20123,relationship,I2003,mentioned in,D20123
L20124,relationship,I2003,mentioned in,D20124
L20125,relationship,I2003,mentioned in,D20913
L20126,relationship,I2003,mentioned in,D10017
L20127,relationship,I2003,mentioned in,D170271
L20128,relationship,I2003,mentioned in,D20128
L20129,relationship,I2003,mentioned in,D30427
L20130,relationship,I2003,mentioned in,D30428
L20131,relationship,I2003,mentioned in,D20131
L20132,relationship,I2003,mentioned in,D20132
L20133,relationship,I2003,mentioned in,D20133
L20135,relationship,I2003,mentioned in,D20135
L20136,relationship,I2003,mentioned in,D200292
L20137,relationship,I2003,mentioned in,D20137
L20138,relationship,I2003,mentioned in,D20138
L20139,relationship,I2003,mentioned in,D20139
L20140,relationship,I2003,mentioned in,D20140
L20141,relationship,I2003,mentioned in,D191656
L20142,relationship,I2003,mentioned in,D170577
L20143,relationship,I2003,mentioned in,D20143
L20144,relationship,I2003,mentioned in,D170270
L20145,relationship,I2003,mentioned in,D170579
L20146,relationship,I2003,mentioned in,D130190
L20147,relationship,I2003,mentioned in,D20147
L20148,relationship,I2003,mentioned in,D20148
L20149,relationship,I2003,mentioned in,D20149
L20150,relationship,I2003,mentioned in,D20150
L20151,relationship,I2003,mentioned in,D20151
L20152,relationship,I2003,mentioned in,D20152
L20153,relationship,I2003,mentioned in,D20153
L20154,relationship,I2003,mentioned in,D20154
L20155,relationship,I2003,mentioned in,D20155
L20156,relationship,I2003,mentioned in,D130827
L20157,relationship,I2003,mentioned in,D170141
L20158,relationship,I2003,mentioned in,D20158
L20159,relationship,I2003,mentioned in,D10229
L20160,relationship,I2003,mentioned in,D20480
L20161,relationship,I2003,mentioned in,D20161
L20162,relationship,I2003,mentioned in,D20162
L20163,relationship,I2003,mentioned in,D30510
L20164,relationship,I2003,mentioned in,D130623
L20165,relationship,I2003,mentioned in,D120372
L20166,relationship,I2003,mentioned in,D130826
L20167,relationship,I2003,mentioned in,D170057
L20168,relationship,I2003,mentioned in,D10270
